ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001767847-19-000001	101	Genchi Inc.	Rowland Savage	Rowland Savage	CEO	2019-02-14
0001310990-19-000003	101	CMWA Small Cap Fund LLC	Cynthia G. Koury	Cynthia G. Koury	Executive Officer	2019-02-14
0001733206-19-000001	101	Eclipse Diagnostics Inc	LUKA FAJS	LUKA FAJS	CEO, PRESIDENT, DIRECTOR	2019-02-14
0001748316-19-000027	101	DPIP Project Engine Series, a series of Alternative Strategies Direct Private Investment Program, LLC	/s/ Sean Nicolosi	Sean Nicolosi	Director of Alternative Investment Operations of MM	2019-02-14
0001720275-19-000001	101	KIG-NYVA Restaurant Fund I LLC	Hongfei Zhang	Hongfei Zhang	Managing Member	2019-02-14
0001765376-19-000001	102	Infinity Title Agency LLC	Brian P. Moore	Brian P. Moore	Manager	2019-02-14
0001765376-19-000001	101	Impact Title Partners, LLC	Jose Medina	Jose Medina	Manager	2019-02-14
0001183740-19-000023	101	CannaVerde Pharma Inc	/s/ Michael Nistorescu	Michael Nistorescu	Chief Executive Officer	2019-01-31
0001764310-19-000001	101	ADG Brain Health II, LP	/s/ Alem Boukadoum	Alem Boukadoum	Manager of the General Partner	2019-02-13
0001652648-19-000001	101	GrubMarket, Inc.	/s/ Minyi Xu	Minyi Xu	Chief Executive Officer	2019-02-13
0001209191-19-009882	101	Pulmatrix, Inc.	/s/ William Duke, Jr.	William Duke, Jr.	Chief Financial Officer, Treasurer and Secretary	2019-02-13
0001209191-19-009883	101	Pulmatrix, Inc.	/s/ William Duke, Jr.	William Duke, Jr.	Chief Financial Officer, Treasurer and Secretary	2019-02-13
0001209191-19-009884	101	Pulmatrix, Inc.	/s/ William Duke, Jr.	William Duke, Jr.	Chief Financial Officer, Treasurer and Secretary	2019-02-13
0001744840-19-000002	101	Modern Healthcare Inc.	/s/Nicole Hatcher	Nicole Hatcher	Attorney-in-fact	2019-02-13
0001725395-19-000001	101	Cairos International Fund, LP	Eugene Wu	Eugene Wu	Managing Member of Cairos Capital, LLC	2019-02-13
0001183740-19-000024	101	CYPRESS DEVELOPMENT CORP	/s/James G. Pettit	James G. Pettit	CHIEF FINANCIAL OFFICER	2019-02-13
0001765448-19-000001	101	COMMON INTEREST MANAGEMENT HOLDINGS LLC	Daniel Carper	Daniel Carper	AUTHORIZED PERSON	2019-02-13
0001767850-19-000001	101	TC Fund II, LLC	/s/ Craig M. Young	Craig M. Young	Managing Member of the Manager of the Issuer	2019-02-13
0001767655-19-000001	101	House at Tallahassee, LLC	/s/ Charles Stephen Wendell	Charles Stephen Wendell	Manager of F&S Management, LLC	2019-02-13
0000811212-19-000001	101	CESCA THERAPEUTICS INC.	Jeffery Cauble	Jeffery Cauble	Principal Financial Officer & Principal Accounting Officer	2019-02-13
0001767950-19-000001	101	AACP China Venture Investors I, L.P.	/s/ David E. Lillevand	David E. Lillevand	Attorney-In-Fact	2019-02-13
0001764790-19-000001	101	Viridium Pacific Group Ltd.	/s/ Jay Garnett	Jay Garnett	President and CEO	2019-02-13
0001767990-19-000002	101	American Postal Infrastructure Fund, L.P.	/s/ ROBERT B. HELLMAN, JR.	ROBERT B. HELLMAN, JR.	MANAGING MEMBER OF THE MANAGING MEMBER OF THE GP OF ISSUER	2019-02-13
0001649448-19-000001	101	Beach Point Multi-Strategy Credit Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001758222-19-000002	101	Arizona Healthcare II DST	Keith Lampi	Keith Lampi	President and COO of Sole Member of Signatory Trustee	2019-02-11
0001649486-19-000001	101	Beach Point Multi-Strategy Credit Offshore Fund (EUR) Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001649497-19-000001	101	Beach Point Multi-Strategy Credit Offshore Fund (GBP) Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001764786-19-000001	101	Healthcare Portfolio VI DST	Keith Lampi	Keith Lampi	President of Sole Member of Signatory Trustee of Issuer	2019-02-11
0001649458-19-000001	101	Beach Point Multi-Strategy Credit Offshore Fund (USD) Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001615510-19-000001	101	Beach Point Global Offshore Fund Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001767293-19-000001	101	Fairway America Value-Add Self-Storage Fund LLC	/s/ Matthew Burk	Matthew Burk	Manager of Manager of Issuer	2019-02-13
0001640449-19-000001	101	Beach Point Securitized Credit Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001192482-19-000082	101	Bienville Capital Partners, LP	/s/ William H. Stimpson	William H. Stimpson	Authorized Person	2019-02-11
0001758085-19-000003	101	Fund EQ - RTA, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-02-13
0001730558-19-000002	101	Regimen, Inc.	Nick Allen	Nick Allen	Chief Executive Officer	2019-02-13
0000895345-19-000099	101	PH Group Parent Corp.	/s/ Shawn Morris	Shawn Morris	President	2019-02-13
0001683168-19-000371	101	FDS Nolensville Holdings, LLC	/s/ Andrew Schwartzman	Andrew Schwartzman	Authorized Signatory of Managing Member of Issuer	2019-02-13
0001709844-19-000001	101	Twofold Inc.	/s/ Anja Bump	Anja Bump	President	2019-02-12
0001745680-19-000001	101	Confetti Collective Inc.	Linden Ellis	Linden Ellis	Co-Chief Executive Officer	2019-02-13
0001567619-19-003834	101	CANDENTE COPPER CORP	/s/ Joanne C. Freeze	Joanne C. Freeze	CEO & President	2019-02-11
0000902664-19-000962	101	Trian SPV XII, L.P.	/s/ Edward P. Garden	Edward P. Garden	Member of the General Partner of the General Partner	2019-02-13
0001627361-19-000001	101	NCC China A-Share Offshore Feeder Fund	/s/ Meng Tat Lim	Meng Tat Lim	Chief Executive Officer	2019-02-11
0001758085-19-000002	101	Fund EQ - RTA, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-02-13
0001601778-19-000001	101	Beach Point Multi-Asset Credit Fund Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001767398-19-000001	101	Melt Pharmaceuticals, Inc.	Gregory Madison	Gregory Madison	President & CEO	2019-02-12
0001588148-19-000001	101	Beach Point Dynamic Income Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of issuer's general partner	2019-02-13
0001767927-19-000001	101	SCVP HOLDINGS LLC	Todd Robinson	Todd Robinson	Issuer Attorney	2019-02-13
0001144204-19-007295	101	MOSAIC REAL ESTATE CREDIT TE, LLC	/s/ Sunny Parmar	Sunny Parmar	Chief Financial Officer of MREC Management, LLC	2019-02-13
0001144204-19-007293	101	Mosaic Real Estate Credit, LLC	/s/ Sunny Parmar	Sunny Parmar	Chief Financial Officer of MREC Management, LLC	2019-02-13
0001012975-19-000154	101	Endeavour Regional Bank Opportunities Fund II L.P.	/s/ Mitchell Katz	Mitchell Katz	Principal of General Partner of Issuer	2019-02-13
0001767994-19-000001	101	168 Realty Group VI, LLC	/Nathaniel Dodson/	Nathaniel Dodson	Attorney of Record	2019-02-13
0001565897-19-000001	101	Beach Point Dynamic Income Offshore Fund Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's investment mgr	2019-02-13
0001767515-19-000002	101	Spark Capital VI, L.P.	/s/ Paul Conway	Paul Conway	Managing Member of the Issuer's General Partner	2019-02-13
0001663964-19-000001	101	Nineteen77 Global Multi-Strategy Alpha WM II LLC	Andrew Hollenbeck	Andrew Hollenbeck	General Counsel of the Investment Manager	2019-02-13
0001763739-19-000001	101	BFG Waikiki Investors LLC	Alexis M-H Buchholz	Alexis M-H Buchholz	Managing Partner of Manager	2019-02-13
0001531824-19-000001	101	Beach Point Select Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001766573-19-000005	101	Hedge Fund Select: Conatus Capital LLC	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Managing Member	2019-02-13
0000902664-19-000959	101	Trian Partners II, Ltd.	/s/ Edward P. Garden	Edward P. Garden	Director	2019-02-13
0001766573-19-000004	101	Hedge Fund Select: Brenner West Ltd	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Investment Manager	2019-02-13
0000902664-19-000958	101	Trian Partners Parallel Fund I, L.P.	/s/ Edward P. Garden	Edward P. Garden	Member of the General Partner	2019-02-13
0001766573-19-000003	101	Hedge Fund Select: BlueTrend LLC	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Managing Member	2019-02-13
0001567619-19-003798	101	Low Carb High Fat, LLC	/S/ Michael Hockenberry	Michael Hockenberry	Chief Executive Officer	2019-02-13
0001767943-19-000002	101	Belton Heights Apartments LLC	Dror Engel	Dror Engel	Managing Member of issuer's manager	2019-02-13
0001463963-19-000001	101	SameDay Security, Inc.	/s/ Anthony Dohrmann	Anthony Dohrmann	CEO	2019-02-13
0001767515-19-000001	101	Spark Capital Growth Fund III, L.P.	/s/ Paul Conway	Paul Conway	Managing Member of the Issuer's General Partner	2019-02-13
0001767371-19-000001	101	Red Door Partners Fund, LLC	/s/ John Phillips	John Phillips	Manager of Red Door Wealth Managment, LLC	2019-02-13
0001682011-19-000001	101	Subcurrent, Inc.	Samir Diwan	Samir Diwan	President and CEO	2019-02-12
0000902664-19-000955	101	Trian Partners II, L.P.	/s/ Edward P. Garden	Edward P. Garden	Member of the General Partner of the General Partner	2019-02-13
0001484452-19-000002	101	Beach Point Loan Fund (Cayman) Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's investment mgr	2019-02-13
0001708810-19-000001	101	Ryver, LLC	/s/ Patrick M. Sullivan	Patrick M. Sullivan	Manager	2019-02-12
0001517760-19-000001	101	Capco Partners, Ltd.	William H. Harrell, Jr.	WILLIAM H. HARRELL, JR	MANAGER OF GENERAL PARTNER	2019-02-13
0001767190-19-000001	101	Nayan Therapeutics, Inc.	Milind Deshpande	Milind Deshpande	Chief Executive Officer	2019-02-13
0001646291-19-000001	101	Beach Point Total Return Offshore Fund IV Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001462778-19-000002	101	Summit Water Development, L.P.	John McIntyre II	John McIntyre II	Member of Managing Member	2019-02-13
0001767887-19-000001	101	PEP Pleasant Creek, L.L.C.	/s/ Douglas W. Lyons	Douglas W. Lyons	Managing Principal of the Manager of the Issuer	2019-02-13
0001429533-19-000002	101	SUMMIT WATER DEVELOPMENT LLC	John McIntyre II	John McIntyre II	Member of Managing Member	2019-02-13
0001589500-19-000002	101	Glynn Public Equity Fund, LLC	/s/ John W. Glynn, Jr.	John W. Glynn, Jr.	Managing Member of the Manager of the Issuer	2019-02-13
0001758085-19-000001	101	T-33 T-Bird, a Series of Skunk Capital, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-02-13
0001012975-19-000152	101	ENDEAVOUR CAPITAL PARTNERS LP	/s/ Mitchell Katz	Mitchell Katz	Managing Member of General Partner of Issuer	2019-02-13
0000071633-19-000013	101	NEW YORK LIFE INSURANCE CO	/s/ Cynthia H. Cristello	Cynthia H. Cristello	Corporate Vice President	2019-02-13
0001629368-19-000001	101	Beach Point Total Return Offshore Fund III Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Director	2019-02-13
0001763552-19-000001	101	La Belle Cuisine Bakery, Mission Bay LLC	Safir Rezzoug	Safir Rezzoug	LLC Manager	2019-02-13
0001377530-19-000001	101	Beach Point Total Return Offshore Fund II Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's investment mgr	2019-02-13
0001507943-19-000007	101	STV SPV II, L.P.	Steven Ruggeri	Steven Ruggeri	Chief Financial Officer	2019-02-13
0000935836-19-000093	101	Halley Venture Fund I LP	Steven J. Schuman	Steven J. Schuman	Manager of Halley Venture Partners LLC, General Partner	2019-02-13
0001377527-19-000001	101	Beach Point Total Return Fund II LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001737447-19-000001	101	Flawless Photonics, Inc.	Chandra Kant Singla	Chandra Kant Singla	President and Chief Executive Officer	2019-02-13
0001767569-19-000001	101	Boyd Hollow Resorts, Inc.	Mahogany P. Jenkins	Mahogany P. Jenkins	Authorized Signatory	2019-02-13
0001484598-19-000001	101	Beach Point Total Return Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of issuer's general partner	2019-02-13
0001764175-19-000001	101	FullCycle Holdings, Inc.	/s/ Ibrahim AlHusseini	Ibrahim AlHusseini	President	2019-02-13
0001765488-19-000001	101	GoKnown LLC	/s/ Connie Erlanger	Connie Erlanger	Chief Executive Officer	2019-02-12
0001767789-19-000001	101	IDL Workshop, LLC	/s/ Peter Meyerhoff	Peter Meyerhoff	CEO	2019-02-13
0001767677-19-000001	101	SPUR Originations, LLC	/s/ Eric Andrew Gottenborg	Eric Andrew Gottenborg	Manager of SPUR Acquisitions, LLC, Manager	2019-02-12
0001767833-19-000001	101	SE ISD, DST	Richard Kaplan	Richard Kaplan	Manager, SE ISD DTA, LLC, Discretionary Trust Administrator	2019-02-13
0001748962-19-000001	101	NatureSauce, LLC	/s/ Kent Wood	Kent Wood	Managing Member	2019-02-11
0001764223-19-000004	101	Mountain Fund, Ltd.	Aaron Ostrosvky	Aaron Ostrovsky	Director of the Investment Manager of the Issuer	2019-02-11
0001767946-19-000001	101	PSF I Jax Metro, LLC	Judson L. Pankey	Judson L. Pankey	Manager of Managing Member of Issuer	2019-02-11
0001766137-19-000001	101	Cove Tool, Inc.	/s/ Sandeep Ahuja	Sandeep Ahuja	Chief Executive Officer	2019-02-13
0001567619-19-003690	101	BROOKDALE INTERNATIONAL PARTNERS, L.P.	/s/ Eitan Milgram	Eitan Milgram	Exec Vice President of the General Partner of the Issuer	2019-02-13
0000950172-19-000030	101	Icebox Holdings, Inc.	/s/ John Mulflur	John Mulflur	Vice President, Treasurer and Secretary	2019-02-13
0001567619-19-003685	101	BROOKDALE GLOBAL OPPORTUNITY FUND	/s/ Eitan Milgram	Eitan Milgram	Managing Member of AEP LLC, a Director of the Issuer	2019-02-13
0001731254-19-000005	101	DoveMed, Ltd.	Krishnarao Tangella	Krishnarao Tangella	Chief Executive Officer	2019-02-13
0001764223-19-000003	101	Total Alternatives Fund (B) LP	Aaron Ostrosvky	Aaron Ostrovsky	Director of GP of Sole Member of Issuer's GP	2019-02-11
0001671094-19-000002	101	STAE INC.	B. John Edgar	B. John Edgar	Chief Executive Officer	2019-02-13
0001598249-19-000001	101	EMC Alpha Fund, LP	Reid Buchanan	Reid Buchanan	Counsel	2019-02-13
0001767924-19-000001	101	Exagon Alpha Fund, LP	/s/John Zwick	John Zwick	Manager of General Partner	2019-02-13
0001767948-19-000002	101	Haywood Lane Investors, LLC	C. Palmer Pillans	C. Palmer Pillans	Secretary	2019-02-13
0001732596-19-000001	101	Meritize Financial, Inc.	Chris Keaveney	Chris Keaveney	CEO	2019-02-13
0001642752-19-000001	101	Diameter Health, Inc.	/s/ Eric Rosow	Eric Rosow	Chief Executive Officer	2019-02-13
0001430089-19-000001	101	Selkirk Partners, LP	Jed Bowen	Jed Bowen	CFO	2019-02-13
0001728654-19-000001	101	VCM OFFSHORE FUND I LP	/s/ Jennifer Yong	Jennifer Yong	Compliance Manager	2019-02-13
0001013594-19-000145	101	Northlander America, LP	/s/ Tim Sweeting	Tim Sweeting	Director of the General Partner	2019-02-13
0001484601-19-000001	101	Beach Point Strategic Offshore Fund Ltd.	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's investment mgr	2019-02-13
0001766971-19-000001	101	Woodford Horizontal Project 25, LLC	/s/Chris Wise	Chris Wise	Manager and Member of the Manager	2019-02-13
0001484600-19-000001	101	Beach Point Strategic Fund II LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001566114-19-000034	101	Grosvenor Emerging Manager Fund (CI), LP	/s/ Girish Kashyap	Girish Kashyap	Managing Director of Grosvenor Capital Management, L.P.	2019-02-13
0000902664-19-000949	101	Thirteen Partners Concentrated 3, Ltd.	/s/ Jonathan M Harris	Jonathan M Harris	Director	2019-02-12
0000915045-19-000006	101	CIS INCOME & GROWTH PARTNERS	Debora M. Covell	Debora M. Covell	CCO of the Issuer's General Partner	2019-02-13
0001484442-19-000001	101	Beach Point Strategic Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001764223-19-000002	101	Total Alternatives Fund (A) LP	Aaron Ostrosvky	Aaron Ostrovsky	Director of GP of Sole Member of Issuer's GP	2019-02-11
0001013594-19-000144	101	Delphi Healthcare Holdings LP	/s/ Howard Siegelbaum	Howard Siegelbaum	Managing Member of the General Partner	2019-02-13
0001726624-19-000001	101	Bonaccord Capital Partners I-A, L.P.	Arthur Man	Arthur Man	Vice President of the GP of the GP of the Issuer	2019-02-13
0001728390-19-000007	101	JD Ross Angel Fund, a series of Angel Deal Holdings, LP	Richard Thoms	Richard Thoms	Officer of the General Partner's Manager	2019-02-13
0001726618-19-000001	101	Bonaccord Capital Partners I, L.P.	Arthur Man	Arthur Man	Vice President of the GP of the GP of the Issuer	2019-02-13
0001566114-19-000033	101	Grosvenor Emerging Manager Fund (US), LP	/s/ Girish Kashyap	Girish Kashyap	Managing Director of Grosvenor Capital Management, L.P.	2019-02-13
0001728390-19-000006	101	Fund EQ-ONJ, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-02-13
0001729268-19-000001	101	Protocol Fund LP	Parker Spann	Parker Spann	Managing Member	2019-02-13
0001566114-19-000032	101	GROSVENOR ALTERNATIVE INVESTMENT STRATEGIES(TE)LTD	/s/ Girish Kashyap	Girish Kashyap	Managing Director of Grosvenor Capital Management, L.P.	2019-02-13
0001484453-19-000001	101	Beach Point Loan Fund LP	Lawrence M. Goldman	Lawrence M. Goldman	Chief Administrative Officer of the issuer's general partner	2019-02-13
0001767947-19-000003	101	A-JWQ-29-Fund, a series of Heron Rock, Endeavor North Fund, LP	Coleman Miller	Coleman Miller	Officer of the Manager of the Issuer's General Partner	2019-02-13
0001637595-19-000003	101	IPOP Press, Inc.	Patrick O'Brien	Patrick O'Brien	CEO	2019-02-13
0001162677-19-000014	101	Post Oak Hospitality Group, L.P.	/s/ Taseer A. Badar	Taseer A. Badar	Manager of the General Partner	2019-02-13
0001566114-19-000031	101	GROSVENOR ALTERNATIVE INVESTMENT STRATEGIES(TI)LP	/s/ Girish Kashyap	Girish Kashyap	Managing Director of Grosvenor Capital Management, L.P.	2019-02-13
0001701040-19-000001	101	CISION LTD.	/S/ JACK PEARLSTEIN	JACK PEARLSTEIN	CHIEF FINANCIAL OFFICER	2019-02-13
0001566114-19-000030	101	Grosvenor Macro Strategies Fund, L.P.	/s/ Girish Kashyap	Girish Kashyap	Managing Director of Grosvenor Capital Management, L.P.	2019-02-13
0001669187-19-000001	101	Nut Tree Offshore Fund, Ltd.	Ben Dominguez	Ben Dominguez	COO and CFO of the Investment Manager	2019-02-13
0001767942-19-000001	101	Dunamis Capital US LLC	Delfos Machado Neto	Delfos Machado Neto	Managing Member	2019-02-13
0001666723-19-000001	101	Nut Tree Onshore Fund, LP	Ben Dominguez	Ben Dominguez	COO and CFO of the Investment Manager	2019-02-13
0001686344-19-000003	101	Appleseed Discovery Fund, LP	Jennifer Dunlap	Jennifer Dunlap	Chief Compliance Officer	2019-02-13
0001707917-19-000001	101	AFLG HOLDINGS, INC.	Freddy Antonio Russian	Freddy Antonio Russian	President and CEO	2019-02-13
0001653311-19-000001	101	BBH Wealth Strategies Unit Trust - Hitchwood Capital Partners Sub-Trust	Christian Brunet	Christian Brunet	Authorized Signatory	2019-02-13
0001012975-19-000151	101	Endeavour Capital Private Investments I, L.P.	/s/ Mitchell J. Katz	Mitchell J. Katz	Managing Member of the Issuer's General Partner	2019-02-13
0001696756-19-000001	101	BBH Wealth Strategies Unit Trust - Barings Loan Sub-Trust	Christian Brunet	Christian Brunet	Authorized Signatory	2019-02-13
0001686344-19-000002	101	Appleseed Pioneer Fund, LP	Jennifer Dunlap	Jennifer Dunlap	Chief Compliance Officer	2019-02-13
